"SelfStorageName","FacilityNumber","Street","City","State","Country","PostalCode"
"A1 Self Storage","","1415 W Commonwealth Ave","Fullerton","CA","US","92833"
"CubeSmart Self Storage","0285","2828 W 5th St","Santa Ana","CA","US","92703"

